id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9597.31,1.0,5798620000.0,160323898516,16705087.0,16705087.0,21000000.0,-0.26,2.34,16.67,1511811852
ethereum,Ethereum,ETH,2,475.165,0.0499156,1425500000.0,45611578363.0,95991031.0,95991031.0,null,-0.09,3.46,29.91,1511811852
bitcoin-cash,Bitcoin Cash,BCH,3,1645.74,0.172884,1849290000.0,27690172081.0,16825363.0,16825363.0,21000000.0,-0.32,-0.6,37.82,1511811870
ripple,Ripple,XRP,4,0.252599,0.00002654,194773000.0,9756098443.0,38622870411.0,99993173757.0,100000000000,0.22,1.16,5.03,1511811841
bitcoin-gold,Bitcoin Gold,BTG,5,361.724,0.0379987,134404000.0,6031760754.0,16675036.0,16775036.0,21000000.0,-1.12,5.54,145.57,1511811876
dash,Dash,DASH,6,629.496,0.0661279,139858000.0,4855988803.0,7714090.0,7714090.0,18900000.0,0.08,1.0,39.17,1511811846
litecoin,Litecoin,LTC,7,89.1934,0.00936968,433642000.0,4818348606.0,54021358.0,54021358.0,84000000.0,-0.6,4.35,23.55,1511811842
iota,IOTA,MIOTA,8,0.973946,0.00010231,130048000.0,2707112401.0,2779530283.0,2779530283.0,2779530283.0,2.13,23.04,1.16,1511811866
neo,NEO,NEO,9,39.6057,0.00416054,84672300.0,2574370500.0,65000000.0,100000000.0,null,0.25,2.48,2.55,1511811855
monero,Monero,XMR,10,166.249,0.0174642,74373100.0,2561412020.0,15407082.0,15407082.0,null,-0.28,1.61,20.73,1511811844
ethereum-classic,Ethereum Classic,ETC,11,25.6131,0.00269063,659880000.0,2506335579.0,97853660.0,97853660.0,null,0.89,16.16,38.14,1511811858
nem,NEM,XEM,12,0.218288,0.00002293,12212600.0,1964592000.0,8999999999.0,8999999999.0,null,0.27,1.22,3.13,1511811851
eos,EOS,EOS,13,2.80287,0.00029444,117810000.0,1408941792.0,502678252.0,1000000000.0,null,-0.51,9.57,41.64,1511811868
cardano,Cardano,ADA,14,0.0480693,0.00000505,69968000.0,1246296132.0,25927070538.0,31112483745.0,45000000000.0,2.06,24.51,58.68,1511811873
qtum,Qtum,QTUM,15,14.6368,0.00153758,139307000.0,1078618227.0,73692216.0,100192216.0,null,-0.15,-1.04,-2.31,1511811866
zcash,Zcash,ZEC,16,341.861,0.0359121,87071700.0,927483849.0,2713044.0,2713044.0,null,-0.34,0.58,13.17,1511811860
stellar,Stellar Lumens,XLM,17,0.0519144,0.00000545,29736300.0,919604102.0,17713853990.0,103452109577,null,-1.12,8.4,34.72,1511811846
omisego,OmiseGO,OMG,18,8.95769,0.000941,47641100.0,914065546.0,102042552.0,140245398.0,null,-0.14,5.5,11.78,1511811870
lisk,Lisk,LSK,19,7.84557,0.00082417,30361200.0,904955494.0,115346048.0,115346048.0,null,0.49,2.55,-21.09,1511811862
hshare,Hshare,HSR,20,19.5948,0.00205841,61638600.0,828910109.0,42302555.0,42302555.0,84000000.0,-0.52,-4.9,7.35,1511811871
tether,Tether,USDT,21,1.00141,0.0001052,846382000.0,675919544.0,674967839.0,675000482.0,null,-0.03,-1.08,0.14,1511811849
bitconnect,BitConnect,BCC,22,294.56,0.0309432,27404800.0,629796380.0,2138092.0,8392580.0,28000000.0,-0.23,-3.29,0.64,1511811861
waves,Waves,WAVES,23,5.60086,0.00058836,24723300.0,560086000.0,100000000.0,100000000.0,null,0.07,-1.33,6.23,1511811854
stratis,Stratis,STRAT,24,5.08789,0.00053448,19657200.0,501862928.0,98638714.0,98638714.0,null,2.06,10.22,45.58,1511811856
